type	ID	Name	State	group	Gene_target	DB_id	name	Type	ATC_code
biotech	DB00001	Lepirudin	liquid	approved	F2	BE0000048	Prothrombin	polypeptide	B01AE02
biotech	DB00002	Cetuximab	liquid	approved	EGFR	BE0000767	Epidermal growth factor receptor	polypeptide	L01XC06
biotech	DB00002	Cetuximab	liquid	approved	FCGR3B	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	polypeptide	L01XC06
biotech	DB00002	Cetuximab	liquid	approved	C1QA	BE0002094	Complement C1q subcomponent subunit A	polypeptide	L01XC06
biotech	DB00002	Cetuximab	liquid	approved	C1QB	BE0002095	Complement C1q subcomponent subunit B	polypeptide	L01XC06
biotech	DB00002	Cetuximab	liquid	approved	C1QC	BE0002096	Complement C1q subcomponent subunit C	polypeptide	L01XC06
biotech	DB00002	Cetuximab	liquid	approved	FCGR3A	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	polypeptide	L01XC06
biotech	DB00002	Cetuximab	liquid	approved	FCGR1A	BE0000710	High affinity immunoglobulin gamma Fc receptor I	polypeptide	L01XC06
biotech	DB00002	Cetuximab	liquid	approved	FCGR2A	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	polypeptide	L01XC06
biotech	DB00004	Denileukin diftitox	liquid	approved	IL2RA	BE0000658	Interleukin-2 receptor subunit alpha	polypeptide	L01XX29
biotech	DB00004	Denileukin diftitox	liquid	approved	IL2RB	BE0000651	Interleukin-2 receptor subunit beta	polypeptide	L01XX29
biotech	DB00004	Denileukin diftitox	liquid	approved	IL2RG	BE0002102	Cytokine receptor common subunit gamma	polypeptide	L01XX29
biotech	DB00005	Etanercept	liquid	approved	TNF	BE0000704	Tumor necrosis factor	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	FCGR1A	BE0000710	High affinity immunoglobulin gamma Fc receptor I	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	FCGR2A	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	FCGR2B	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	FCGR2C	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	FCGR3A	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	FCGR3B	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	LTA	BE0001087	Lymphotoxin-alpha	polypeptide	L04AB01
biotech	DB00005	Etanercept	liquid	approved	C1QA	BE0009995	Complement C1q subcomponent subunit A	polypeptide	L04AB01
small molecule	DB00006	Bivalirudin	solid	approved	F2	BE0000048	Prothrombin	polypeptide	B01AE06
small molecule	DB00007	Leuprolide	solid	approved	GNRHR	BE0000203	Gonadotropin-releasing hormone receptor	polypeptide	L02AE51;L02AE02
biotech	DB00008	Peginterferon alfa-2a	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	L03AB11;L03AB61
biotech	DB00008	Peginterferon alfa-2a	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	L03AB11;L03AB61
biotech	DB00009	Alteplase	liquid	approved	PLG	BE0000211	Plasminogen	polypeptide	B01AD02;S01XA13
biotech	DB00009	Alteplase	liquid	approved	FGA	BE0000538	Fibrinogen alpha chain	polypeptide	B01AD02;S01XA13
biotech	DB00009	Alteplase	liquid	approved	PLAUR	BE0000717	Urokinase plasminogen activator surface receptor	polypeptide	B01AD02;S01XA13
biotech	DB00009	Alteplase	liquid	approved	SERPINE1	BE0000240	Plasminogen activator inhibitor 1	polypeptide	B01AD02;S01XA13
biotech	DB00010	Sermorelin	liquid	approved	GHRHR	BE0000625	Growth hormone-releasing hormone receptor	polypeptide	V04CD03;H01AC04
biotech	DB00011	Interferon alfa-n1	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	L03AB06
biotech	DB00011	Interferon alfa-n1	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	L03AB06
biotech	DB00012	Darbepoetin alfa	liquid	approved	EPOR	BE0000654	Erythropoietin receptor	polypeptide	B03XA02
biotech	DB00013	Urokinase	liquid	approved	PLG	BE0000211	Plasminogen	polypeptide	B01AD04
biotech	DB00013	Urokinase	liquid	approved	PLAUR	BE0000717	Urokinase plasminogen activator surface receptor	polypeptide	B01AD04
biotech	DB00013	Urokinase	liquid	approved	SERPINE1	BE0000240	Plasminogen activator inhibitor 1	polypeptide	B01AD04
biotech	DB00013	Urokinase	liquid	approved	SERPINB2	BE0000969	Plasminogen activator inhibitor 2	polypeptide	B01AD04
biotech	DB00013	Urokinase	liquid	approved	SERPINA5	BE0002112	Plasma serine protease inhibitor	polypeptide	B01AD04
biotech	DB00013	Urokinase	liquid	approved	LRP2	BE0000942	Low-density lipoprotein receptor-related protein 2	polypeptide	B01AD04
biotech	DB00013	Urokinase	liquid	approved	ST14	BE0001656	Suppressor of tumorigenicity 14 protein	polypeptide	B01AD04
biotech	DB00013	Urokinase	liquid	approved	NID1	BE0002113	Nidogen-1	polypeptide	B01AD04
small molecule	DB00014	Goserelin	solid	approved	LHCGR	BE0000134	Lutropin-choriogonadotropic hormone receptor	polypeptide	L02AE03
small molecule	DB00014	Goserelin	solid	approved	GNRHR	BE0000203	Gonadotropin-releasing hormone receptor	polypeptide	L02AE03
biotech	DB00015	Reteplase	liquid	approved	PLG	BE0000211	Plasminogen	polypeptide	B01AD07
biotech	DB00015	Reteplase	liquid	approved	FGA	BE0000538	Fibrinogen alpha chain	polypeptide	B01AD07
biotech	DB00015	Reteplase	liquid	approved	SERPINE1	BE0000240	Plasminogen activator inhibitor 1	polypeptide	B01AD07
biotech	DB00016	Erythropoietin	liquid	approved	EPOR	BE0000654	Erythropoietin receptor	polypeptide	B03XA01
biotech	DB00017	Salmon calcitonin	liquid	approved	CALCR	BE0000431	Calcitonin receptor	polypeptide	H05BA01
biotech	DB00018	Interferon alfa-n3	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	NA
biotech	DB00018	Interferon alfa-n3	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	NA
