drug	gene
1,2-Benzodiazepine	CYP3A4
1,2-Benzodiazepine	GABRA1
2-mercaptobenzothiazole	TPO
5-O-phosphono-alpha-D-ribofuranosyl diphosphate	APRT
5-O-phosphono-alpha-D-ribofuranosyl diphosphate	HPRT1
5-O-phosphono-alpha-D-ribofuranosyl diphosphate	UCKL1
Abacavir	ADH6
Abacavir	ADK
Abacavir	HLA-B
Abacavir	UGT1A1
Abaloparatide	PTH1R
Abametapir	CYP1A2
Abametapir	CYP2B6
Abametapir	CYP3A4
Abarelix	GNRHR
Abatacept	CD80
Abatacept	CD86
Abciximab	FCGR2A
Abciximab	FCGR2B
Abciximab	ITGA2B
Abciximab	ITGB3
Abciximab	VTN
Abemaciclib	ABCB1
Abemaciclib	ABCG2
Abemaciclib	ALB
Abemaciclib	CDK4
Abemaciclib	CDK6
Abemaciclib	CYP1A2
Abemaciclib	CYP2B6
Abemaciclib	CYP2C8
Abemaciclib	CYP2C9
Abemaciclib	CYP2D6
Abemaciclib	CYP3A4
Abemaciclib	ORM1
Abemaciclib	SLC22A2
Abemaciclib	SLC47A1
Abemaciclib	SLC47A2
Abiraterone	ABCC1
Abiraterone	ALB
Abiraterone	CYP17A1
Abiraterone	CYP1A2
Abiraterone	CYP2C19
Abiraterone	CYP2C8
Abiraterone	CYP2C9
Abiraterone	CYP2D6
Abiraterone	CYP3A4
Abiraterone	ORM1
Abiraterone	SULT2A1
Acalabrutinib	ALB
Acalabrutinib	BTK
Acalabrutinib	CYP3A4
Acalabrutinib	CYP3A5
Acalabrutinib	ORM1
Acamprosate	GABBR1
Acamprosate	GRIN1
Acamprosate	GRM5
Acamprosate	SLC22A6
Acarbose	AMY2A
Acarbose	GAA
Acarbose	MGAM
Acarbose	SI
Acebutolol	ABCB1
Acebutolol	ADRB1
Acebutolol	ADRB2
Acebutolol	CYP2D6
Aceclofenac	CYP2C9
Aceclofenac	PTGS1
Aceclofenac	PTGS2
Acemetacin	ABCC1
Acemetacin	PTGS1
Acemetacin	PTGS2
Acemetacin	UGT2B7
Acenocoumarol	ABCB1
Acenocoumarol	ALB
Acenocoumarol	CYP1A2
Acenocoumarol	CYP2C19
Acenocoumarol	CYP2C9
Acenocoumarol	CYP3A4
Acenocoumarol	ORM1
Acenocoumarol	VKORC1
Acetaminophen	ABCB1
Acetaminophen	ALB
Acetaminophen	CYP1A2
Acetaminophen	CYP2A6
Acetaminophen	CYP2D6
Acetaminophen	CYP2E1
Acetaminophen	CYP3A4
Acetaminophen	FAAH
Acetaminophen	GSTM1
Acetaminophen	GSTP1
Acetaminophen	NAT2
