side_effect	protein	ADJ_pvalue
Abdominal discomfort	ABCB1	0.0928365321968358
Abdominal distension	ABCB1	0.0321938389292553
Abdominal pain	ABCB1	5.41484939283033e-05
Abdominal pain upper	ABCB1	0.0294762182802171
Abnormal dreams	ABCB1	0.0405667775618205
Accommodation disorder	ABCB1	0.0001890651388687
Acute coronary syndrome	ABCB1	0.0021171858210093
Acute febrile neutrophilic dermatosis	ABCB1	0.164350052366834
Acute generalised exanthematous pustulosis	ABCB1	0.0521783391978684
Acute hepatic failure	ABCB1	0.00844941729005088
Acute respiratory distress syndrome	ABCB1	0.0959752637904629
Affect lability	ABCB1	0.0559416629032014
Affective disorder	ABCB1	0.1183627165646
Agitation	ABCB1	0.120507823938874
Agranulocytosis	ABCB1	0.0145138795618505
Akathisia	ABCB1	0.000780275408044887
Akinesia	ABCB1	0.00372184967686232
Alanine aminotransferase increased	ABCB1	9.540733114325e-05
Allergic oedema	ABCB1	0.0179478285268118
Alopecia	ABCB1	1.79481821095345e-05
Amblyopia	ABCB1	0.0443298421679196
Amenorrhoea	ABCB1	0.0373881762178344
Amnesia	ABCB1	0.0132300824127783
Amylase increased	ABCB1	0.0952252829221008
Anaemia	ABCB1	0.00342941340420105
Angina pectoris	ABCB1	0.101199506256191
Angioedema	ABCB1	0.0629838822266611
Angiopathy	ABCB1	0.0518749867018445
Angle closure glaucoma	ABCB1	0.000977479309282059
Anorgasmia	ABCB1	0.000162089973350161
Anxiety	ABCB1	0.00735656581781343
Anxiety disorder	ABCB1	0.0521783391978684
Apathy	ABCB1	0.0346963640807261
Aphasia	ABCB1	0.0310874643296633
Aplastic anaemia	ABCB1	0.15111624811671
Apraxia	ABCB1	0.0473587969629732
Arrhythmia	ABCB1	0.0306487174953911
Arthralgia	ABCB1	0.00695622821791735
Arthritis	ABCB1	0.0580059681891967
Ascites	ABCB1	0.114167041963553
Aspartate aminotransferase increased	ABCB1	0.000757485804844273
Asthenia	ABCB1	0.000227187267230002
Ataxia	ABCB1	0.00160590258424737
Atrial fibrillation	ABCB1	0.0320966719877423
Atrial flutter	ABCB1	0.147806506984613
Atrioventricular block	ABCB1	0.000977479309282059
Atrioventricular block first degree	ABCB1	0.075788596746367
Autonomic neuropathy	ABCB1	0.152162149902311
Back pain	ABCB1	0.0809715123071506
Bacteraemia	ABCB1	0.0126353572182189
Basedow's disease	ABCB1	0.0841979671890344
Bipolar disorder	ABCB1	0.0473587969629732
Bipolar I disorder	ABCB1	0.0206467312062403
Bladder pain	ABCB1	0.095175607125887
Blepharitis	ABCB1	0.182947354326098
Blepharospasm	ABCB1	0.19401784888917
Blood alkaline phosphatase increased	ABCB1	0.00305489327050096
Blood bilirubin increased	ABCB1	0.00550911659150304
Blood cholesterol increased	ABCB1	0.0443870646822162
Blood creatine phosphokinase increased	ABCB1	0.0922200382261935
Blood creatinine increased	ABCB1	0.130442187339702
Blood disorder	ABCB1	0.00190325845749308
Blood glucose increased	ABCB1	0.00763686044844198
Blood phosphorus decreased	ABCB1	0.101824300053687
Blood potassium decreased	ABCB1	0.196164113763055
Blood prolactin increased	ABCB1	0.00554222461172613
Blood thyroid stimulating hormone increased	ABCB1	0.0215366526715747
Blood triglycerides increased	ABCB1	0.00890517349332759
Blood uric acid increased	ABCB1	0.0258245017654093
Blunted affect	ABCB1	0.1183627165646
Body temperature increased	ABCB1	0.0014147488138656
Bone disorder	ABCB1	0.0767295386469507
Bone pain	ABCB1	0.0217346942561936
Bradykinesia	ABCB1	0.00668128430839119
Breast disorder	ABCB1	0.0438509467444944
Breast enlargement	ABCB1	0.00886488814843696
Breast feeding	ABCB1	0.0430878184243306
Breast neoplasm	ABCB1	0.190555212050524
Breast pain	ABCB1	0.000147849048391386
Breath odour	ABCB1	0.0763067306406085
Bronchitis	ABCB1	0.0458882847647982
Bronchospasm	ABCB1	0.16610070615544
Bruxism	ABCB1	0.0203095180878427
Buccoglossal syndrome	ABCB1	0.1183627165646
Bundle branch block	ABCB1	0.133195387269871
Bundle branch block left	ABCB1	0.164350052366834
Cancer pain	ABCB1	0.1183627165646
Candida infection	ABCB1	0.0883890603810962
Cardiac arrest	ABCB1	0.0305059246581903
Cardiac disorder	ABCB1	0.00420779928505984
Cardiac failure	ABCB1	0.00280290319818855
Cardiac failure congestive	ABCB1	0.0038317526020694
Cardiomyopathy	ABCB1	0.054823394212959
Cardiotoxicity	ABCB1	0.152162149902311
Cardiovascular disorder	ABCB1	0.0392220169026567
Cataract	ABCB1	0.0826153577554809
Catatonia	ABCB1	0.0126353572182189
Cellulitis	ABCB1	0.126451844934901
Cerebral haemorrhage	ABCB1	0.106155962680861
Cerebral infarction	ABCB1	0.155311347875548
Cerebrovascular accident	ABCB1	0.018748477485828
Cheilitis	ABCB1	0.143139542341747
Chest pain	ABCB1	0.0317912032846377
Chills	ABCB1	0.121955268366553
Cholestasis	ABCB1	0.063060600675199
Choreoathetosis	ABCB1	0.0248030851046458
Cogwheel rigidity	ABCB1	0.00280398529489911
Colitis	ABCB1	0.197563082752337
Colitis ischaemic	ABCB1	0.0638049407515603
Completed suicide	ABCB1	0.00187615392772013
Conduction disorder	ABCB1	0.00329584982438023
Confusional state	ABCB1	0.00927729933434684
Conjunctivitis	ABCB1	0.0325394350920199
Connective tissue disorder	ABCB1	0.0169396209899625
Constipation	ABCB1	0.00214643411289448
Conversion disorder	ABCB1	0.0430878184243306
Convulsion	ABCB1	0.122286917159191
Coordination abnormal	ABCB1	0.00136211285085962
Coronary artery disease	ABCB1	0.143139542341747
Cough	ABCB1	0.000102281319212581
Cyst	ABCB1	0.0702198408872184
Cystitis	ABCB1	0.146586467624689
Cystitis noninfective	ABCB1	0.146586467624689
Deafness	ABCB1	0.0314483564635416
Deafness neurosensory	ABCB1	0.1183627165646
Decreased appetite	ABCB1	6.44133055855098e-07
Deep vein thrombosis	ABCB1	0.0047931206769085
Dehydration	ABCB1	2.37314700232787e-05
Delirium	ABCB1	0.0392220169026567
Delusion	ABCB1	0.157357728385686
Dependence	ABCB1	0.0420524584590819
Depersonalisation	ABCB1	0.0209856294580674
Depression	ABCB1	0.113416890488686
Dermatitis	ABCB1	0.00581297074790852
Dermatitis atopic	ABCB1	0.0878997448708012
Dermatitis bullous	ABCB1	0.0111169055639621
Dermatitis exfoliative	ABCB1	0.0079120287915018
Device related infection	ABCB1	0.14499969053297
Diabetes mellitus	ABCB1	0.0470561349031771
Diabetic coma	ABCB1	0.0521783391978684
Diabetic hyperglycaemic coma	ABCB1	0.0521783391978684
Diabetic ketoacidosis	ABCB1	0.164350052366834
Diarrhoea	ABCB1	2.34903611181313e-07
Diplopia	ABCB1	0.0676323471289313
Discomfort	ABCB1	0.0103526335471389
Disease progression	ABCB1	0.103182309266055
Disturbance in sexual arousal	ABCB1	0.0145904479090728
Diverticulitis	ABCB1	0.0229588194893712
Dizziness	ABCB1	0.0909978911549976
Dizziness postural	ABCB1	0.151721523898434
Drooling	ABCB1	0.0638049407515603
Drug dependence	ABCB1	0.122286917159191
Drug eruption	ABCB1	0.00143643516992522
Drug interaction	ABCB1	0.00552078912309811
Drug tolerance	ABCB1	0.0206467312062403
Drug withdrawal syndrome	ABCB1	0.0452669713273849
Drug withdrawal syndrome neonatal	ABCB1	0.129792539704591
Dry eye	ABCB1	0.00309560896845394
Dry mouth	ABCB1	0.000934485185251737
Dry skin	ABCB1	0.00337454903004143
Dysgeusia	ABCB1	0.000127325020194144
Dyskinesia	ABCB1	0.00021088185216485
Dyslipidaemia	ABCB1	0.00620773404196192
Dyspepsia	ABCB1	0.00234442927668586
Dysphagia	ABCB1	1.88486854419632e-05
Dysphemia	ABCB1	0.1183627165646
Dysphonia	ABCB1	0.00840506916996712
Dyspnoea	ABCB1	0.034178541337279
Dyspnoea exertional	ABCB1	0.0543180791628532
Ear pain	ABCB1	0.0275634994290653
Ecchymosis	ABCB1	0.0536394955173405
Eczema	ABCB1	0.0580059681891967
Ejaculation delayed	ABCB1	0.00668128430839119
Ejaculation disorder	ABCB1	0.00164653972815128
Ejection fraction decreased	ABCB1	0.0332747317657566
Electric shock	ABCB1	0.0206467312062403
Electrocardiogram abnormal	ABCB1	0.00902252832770322
Electrocardiogram change	ABCB1	0.0262090903908032
Electrocardiogram QRS complex	ABCB1	0.184495629887554
Electrocardiogram QT prolonged	ABCB1	3.40335276542771e-06
Electroencephalogram abnormal	ABCB1	0.0332747317657566
Embolism	ABCB1	0.000400232198872554
Embolism venous	ABCB1	0.0580036954033661
Endocrine disorder	ABCB1	0.0308136886361721
Endometrial cancer	ABCB1	0.184495629887554
Endometriosis	ABCB1	0.1183627165646
