disease	gene
abnormalities, multiple	KIF7
abnormalities, multiple	COL11A2
abnormalities, multiple	TP63
abnormalities, multiple	GDF1
abnormalities, multiple	PEX6
abnormalities, multiple	EYA1
abnormalities, multiple	USH1C
abnormalities, multiple	PAX3
abnormalities, multiple	PEX19
abnormalities, multiple	PEX2
abnormalities, multiple	TGIF1
abnormalities, multiple	FRAS1
abnormalities, multiple	ARHGAP31
abnormalities, multiple	SMOC1
abnormalities, multiple	RAI1
abnormalities, multiple	IGF2
abnormalities, multiple	USH2A
abnormalities, multiple	BRAF
abnormalities, multiple	TGFBR1
abnormalities, multiple	CDH23
abnormalities, multiple	EDARADD
abnormalities, multiple	MFAP4
abnormalities, multiple	INSR
abnormalities, multiple	TGFBR2
abnormalities, multiple	FGFR3
abnormalities, multiple	FLII
abnormalities, multiple	MYO7A
abnormalities, multiple	ERCC2
abnormalities, multiple	BBS10
abnormalities, multiple	CFC1
abnormalities, multiple	GJB6
abnormalities, multiple	WNT10A
abnormalities, multiple	CREBBP
abnormalities, multiple	SNAI2
abnormalities, multiple	MPLKIP
abnormalities, multiple	TAFAZZIN
abnormalities, multiple	ATP10A
abnormalities, multiple	TBX4
abnormalities, multiple	TTC21B
abnormalities, multiple	MID1
abnormalities, multiple	MITF
abnormalities, multiple	SOX10
abnormalities, multiple	PKP1
abnormalities, multiple	MSX1
abnormalities, multiple	SIX3
abnormalities, multiple	ERCC3
abnormalities, multiple	PORCN
abnormalities, multiple	ERCC6
abnormalities, multiple	IKBKG
abnormalities, multiple	BBS4
abnormalities, multiple	BBS1
abnormalities, multiple	BBS2
abnormalities, multiple	CEP290
abnormalities, multiple	USH1G
abnormalities, multiple	PCDH15
abnormalities, multiple	BBS5
abnormalities, multiple	TFAP2A
abnormalities, multiple	HRAS
abnormalities, multiple	MYH8
abnormalities, multiple	DTNA
abnormalities, multiple	NKX2-6
abnormalities, multiple	WDPCP
abnormalities, multiple	PDZD7
abnormalities, multiple	NEK1
abnormalities, multiple	PRKAR1A
abnormalities, multiple	DHODH
abnormalities, multiple	BLM
abnormalities, multiple	CHD7
abnormalities, multiple	OCRL
abnormalities, multiple	ZIC2
abnormalities, multiple	ZIC3
abnormalities, multiple	PEX3
abnormalities, multiple	SMC3
abnormalities, multiple	TWIST2
abnormalities, multiple	KRT16
abnormalities, multiple	EDN3
abnormalities, multiple	DYNC2H1
abnormalities, multiple	FBN1
abnormalities, multiple	BBS9
abnormalities, multiple	MKKS
abnormalities, multiple	ITGB4
abnormalities, multiple	FREM2
abnormalities, multiple	JAG1
abnormalities, multiple	EDAR
abnormalities, multiple	ADGRV1
abnormalities, multiple	KRT86
abnormalities, multiple	PEX16
abnormalities, multiple	WHRN
abnormalities, multiple	PTPN11
abnormalities, multiple	EVC
abnormalities, multiple	RAF1
abnormalities, multiple	EDNRB
abnormalities, multiple	ALMS1
abnormalities, multiple	NODAL
abnormalities, multiple	KRT81
abnormalities, multiple	GTF2H5
abnormalities, multiple	SPINK5
abnormalities, multiple	PEPD
abnormalities, multiple	ARL6
abnormalities, multiple	KRT83
abnormalities, multiple	CDKN1C
abnormalities, multiple	NECTIN1
abnormalities, multiple	UVRAG
abnormalities, multiple	CLRN1
abnormalities, multiple	SIX1
abnormalities, multiple	GLI2
abnormalities, multiple	GLI3
abnormalities, multiple	EVC2
abnormalities, multiple	ERCC8
abnormalities, multiple	SMAD3
abnormalities, multiple	TRIM32
abnormalities, multiple	SIX5
abnormalities, multiple	NSD1
abnormalities, multiple	DHCR7
abnormalities, multiple	TBX1
abnormalities, multiple	EDA
abnormalities, multiple	PTEN
abnormalities, multiple	TTC8
abnormalities, multiple	PEX14
abnormalities, multiple	TMEM67
abnormalities, multiple	PTCH1
abnormalities, multiple	PEX12
abnormalities, multiple	PEX10
abnormalities, multiple	EP300
abnormalities, multiple	MECP2
abnormalities, multiple	WDR35
abnormalities, multiple	AKT1
abnormalities, multiple	BBS7
