#symbol	regulation
TTR	down
APOC1	down
ALB	down
RBP4	down
APOA1	down
APOA2	down
CLEC3B	down
APOC3	down
APOM	down
COLEC10	down
SERPINA5	down
APOC2	down
FBLN1	down
IGLV4-3	down
HGFAC	down
SERPINA4	down
APOC4	down
AFM	down
IGLC3	down
IGLV4-60	down
CFHR1	down
CFP	down
HRG	down
IGLV4-69	down
C9	up
CRP	up
CP	up
FCGR3A	up
IGKV2−30	up
SAA1	up
CFHR5	up
IGHV2−5	up
C1RL	up
C4B	up
IGKC	up
IGHV1−46	up
LBP	up
LCP1	up
LRG1	up
ORM1	up
IGHV2−26	up
PCYOX1	up
MAN1A1	up
ITIH4	up
LDHB	up
IGHG3	up
SERPINA3	up
SERPINA1	up
FGB	up
FGL1	up
ORM2	up
SAA2	up
HP	up
GGH	up
MBL2	up
CFB	up
